# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x14000d328 | 34 | ASCII | CM_Get_DevNode_Registry_PropertyW
0x14000d34c | 18 | ASCII | CM_Get_Device_IDW
0x14000d360 | 22 | ASCII | CM_Get_DevNode_Status
0x14000d378 | 22 | ASCII | SetupDiEnumDeviceInfo
0x14000d390 | 21 | ASCII | SetupDiGetClassDevsW
0x14000d3a8 | 19 | ASCII | CM_Locate_DevNodeW
0x14000d3be | 26 | ASCII | SetupDiCallClassInstaller
0x14000d3da | 30 | ASCII | SetupDiSetClassInstallParamsW
0x14000d3fa | 26 | ASCII | SetupDiGetClassImageIndex
0x14000d416 | 29 | ASCII | SetupDiDestroyClassImageList
0x14000d436 | 25 | ASCII | SetupDiGetClassImageList
0x14000d452 | 14 | ASCII | ShellExecuteW
0x14000d462 | 10 | ASCII | wsprintfA
0x14000d46e | 10 | ASCII | wsprintfW
0x14000d47a | 12 | ASCII | MessageBoxA
0x14000d488 | 17 | ASCII | SetMenuItemInfoW
0x14000d49c | 28 | ASCII | RegisterDeviceNotificationW
0x14000d4ba | 19 | ASCII | SetMenuItemBitmaps
0x14000d4d0 | 8 | ASCII | GetMenu
0x14000d4da | 17 | ASCII | GetSystemMetrics
0x14000d4ee | 13 | ASCII | SendMessageW
0x14000d4fe | 11 | ASCII | LoadImageW
0x14000d50c | 19 | ASCII | GetWindowPlacement
0x14000d522 | 16 | ASCII | IsWindowVisible
0x14000d534 | 13 | ASCII | UpdateWindow
0x14000d544 | 10 | ASCII | KillTimer
0x14000d550 | 15 | ASCII | TrackPopupMenu
0x14000d562 | 15 | ASCII | ScreenToClient
0x14000d574 | 18 | ASCII | EndDeferWindowPos
0x14000d588 | 15 | ASCII | DeferWindowPos
0x14000d59a | 20 | ASCII | BeginDeferWindowPos
0x14000d5b0 | 14 | ASCII | GetClientRect
0x14000d5c0 | 14 | ASCII | GetWindowRect
0x14000d5d0 | 15 | ASCII | SetWindowTextW
0x14000d5e2 | 11 | ASCII | GetDlgItem
0x14000d5f0 | 13 | ASCII | PeekMessageW
0x14000d600 | 17 | ASCII | DispatchMessageW
0x14000d614 | 12 | ASCII | GetMessageW
0x14000d622 | 13 | ASCII | SetCursorPos
0x14000d632 | 13 | ASCII | GetCursorPos
0x14000d642 | 10 | ASCII | SetCursor
0x14000d64e | 17 | ASCII | SetClassLongPtrW
0x14000d662 | 12 | ASCII | LoadCursorW
0x14000d670 | 14 | ASCII | DestroyWindow
0x14000d680 | 13 | ASCII | PostMessageW
0x14000d690 | 20 | ASCII | SendDlgItemMessageW
0x14000d6a6 | 13 | ASCII | SetWindowPos
0x14000d6b6 | 10 | ASCII | ReleaseDC
0x14000d6c2 | 6 | ASCII | GetDC
0x14000d6ca | 16 | ASCII | SetDlgItemTextW
0x14000d6dc | 11 | ASCII | MoveWindow
0x14000d6ea | 10 | ASCII | GetParent
0x14000d6f6 | 10 | ASCII | EndDialog
0x14000d702 | 9 | ASCII | PtInRect
0x14000d70e | 15 | ASCII | ClientToScreen
0x14000d720 | 9 | ASCII | SetFocus
0x14000d72c | 16 | ASCII | PostQuitMessage
0x14000d73e | 29 | ASCII | UnregisterDeviceNotification
0x14000d75e | 12 | ASCII | DestroyMenu
0x14000d76c | 11 | ASCII | ShowWindow
0x14000d77a | 16 | ASCII | DialogBoxParamW
0x14000d78c | 20 | ASCII | SetForegroundWindow
0x14000d7a2 | 9 | ASCII | SetTimer
0x14000d7ae | 19 | ASCII | SetWindowPlacement
0x14000d7c4 | 17 | ASCII | GetDesktopWindow
0x14000d7d8 | 15 | ASCII | EnableMenuItem
0x14000d7ea | 19 | ASCII | SetMenuDefaultItem
0x14000d800 | 12 | ASCII | AppendMenuW
0x14000d80e | 11 | ASCII | CreateMenu
0x14000d81c | 15 | ASCII | GetWindowTextW
0x14000d82e | 19 | ASCII | CreateDialogParamW
0x14000d844 | 17 | ASCII | TranslateMessage
0x14000d858 | 17 | ASCII | IsDialogMessageW
0x14000d86c | 22 | ASCII | TranslateAcceleratorW
0x14000d884 | 18 | ASCII | LoadAcceleratorsW
0x14000d898 | 13 | ASCII | EnableWindow
0x14000d8a8 | 12 | ASCII | DrawTextExW
0x14000d8b6 | 22 | ASCII | SystemParametersInfoW
0x14000d8ce | 10 | ASCII | LoadIconW
0x14000d8da | 12 | ASCII | GetSysColor
0x14000d8e8 | 17 | ASCII | GetSysColorBrush
0x14000d8fc | 17 | ASCII | MonitorFromPoint
0x14000d910 | 15 | ASCII | CloseClipboard
0x14000d922 | 17 | ASCII | SetClipboardData
0x14000d936 | 15 | ASCII | EmptyClipboard
0x14000d948 | 14 | ASCII | OpenClipboard
0x14000d958 | 15 | ASCII | InvalidateRect
0x14000d96a | 16 | ASCII | MonitorFromRect
0x14000d97c | 16 | ASCII | CreateWindowExW
0x14000d98e | 25 | ASCII | GetWindowThreadProcessId
0x14000d9aa | 15 | ASCII | GetShellWindow
0x14000d9bc | 13 | ASCII | DeleteObject
0x14000d9cc | 22 | ASCII | GetTextExtentPoint32W
0x14000d9e4 | 20 | ASCII | CreateFontIndirectW
0x14000d9fa | 11 | ASCII | GetObjectW
0x14000da08 | 15 | ASCII | GetStockObject
0x14000da1a | 13 | ASCII | SelectObject
0x14000da2a | 10 | ASCII | SetBkMode
0x14000da36 | 13 | ASCII | SetTextColor
0x14000da46 | 11 | ASCII | SetMapMode
0x14000da54 | 11 | ASCII | SetBkColor
0x14000da62 | 14 | ASCII | GetDeviceCaps
0x14000da72 | 26 | ASCII | SetSecurityDescriptorDacl
0x14000da8e | 27 | ASCII | SetSecurityDescriptorGroup
0x14000daac | 27 | ASCII | SetSecurityDescriptorOwner
0x14000daca | 17 | ASCII | SetEntriesInAclW
0x14000dade | 19 | ASCII | CreateWellKnownSid
0x14000daf4 | 29 | ASCII | InitializeSecurityDescriptor
0x14000db14 | 12 | ASCII | RegCloseKey
0x14000db22 | 17 | ASCII | RegQueryValueExW
0x14000db36 | 14 | ASCII | RegOpenKeyExW
0x14000db46 | 15 | ASCII | RegSetValueExW
0x14000db58 | 16 | ASCII | RegCreateKeyExW
0x14000db6a | 16 | ASCII | RegDeleteValueW
0x14000db7c | 8 | ASCII | FreeSid
0x14000db86 | 21 | ASCII | CheckTokenMembership
0x14000db9e | 25 | ASCII | AllocateAndInitializeSid
0x14000dbba | 17 | ASCII | RegQueryInfoKeyW
0x14000dbce | 17 | ASCII | DuplicateTokenEx
0x14000dbe2 | 22 | ASCII | AdjustTokenPrivileges
0x14000dbfa | 22 | ASCII | LookupPrivilegeValueW
0x14000dc12 | 17 | ASCII | OpenProcessToken
0x14000dc26 | 21 | ASCII | CoInitializeSecurity
0x14000dc3e | 15 | ASCII | CoInitializeEx
0x14000dc50 | 16 | ASCII | CLSIDFromString
0x14000de82 | 9 | ASCII | lstrcatA
0x14000de8e | 16 | ASCII | QueryDosDeviceW
0x14000dea0 | 10 | ASCII | lstrcmpiW
0x14000deac | 9 | ASCII | lstrcpyW
0x14000deb8 | 13 | ASCII | GetTickCount
0x14000dec8 | 12 | ASCII | ExitProcess
0x14000ded6 | 17 | ASCII | GetModuleHandleW
0x14000deea | 16 | ASCII | GetStartupInfoW
0x14000defc | 16 | ASCII | GetCommandLineW
0x14000df0e | 15 | ASCII | GetProcessHeap
0x14000df20 | 10 | ASCII | HeapAlloc
0x14000df2c | 6 | ASCII | Sleep
0x14000df34 | 9 | ASCII | HeapFree
0x14000df40 | 12 | ASCII | FreeLibrary
0x14000df4e | 12 | ASCII | CloseHandle
0x14000df5c | 13 | ASCII | GetLastError
0x14000df6c | 18 | ASCII | GetCurrentProcess
0x14000df80 | 15 | ASCII | GetProcAddress
0x14000df92 | 9 | ASCII | lstrlenW
0x14000df9e | 20 | ASCII | MultiByteToWideChar
0x14000dfb4 | 27 | ASCII | WritePrivateProfileStringA
0x14000dfd2 | 27 | ASCII | WritePrivateProfileStructA
